8,time,light-Diving_PAM,%_light_Diving_PAM,light-Apogea,%_light_Apogea,condition
6/23/23,15:30,2030,100.00,,,"outside, bright sun"
6/23/23,13:30,1660,81.77,,,on top of the water in tanks under roof
6/23/23,13:30,1400,68.97,,,on top of the water in tanks under roof
6/23/23,13:30,1030,50.74,,,shadow on top of the water in tanks under roof
6/23/23,13:30,1260,62.07,,,on top of the water in tanks under roof
6/23/23,13:30,740,36.45,,,shadow on top of the water in tanks under roof
6/26/23,14:00,2220,100.00,2250,100.00,"outside, bright sun"
6/26/23,14:00,1600,72.07,1610,71.56,on top of the water in tanks under roof
6/26/23,14:00,660,29.73,750,33.33,shadow on top of the water in tanks under roof
6/26/23,14:00,1550,69.82,1730,76.89,on top of the water in tanks under roof
6/26/23,14:00,1610,72.52,1530,68.00,on top of the water in tanks under roof
6/26/23,14:00,1350,60.81,,,underwater ~20cm
6/26/23,14:00,710,31.98,,,shadow underwater ~20cm
6/26/23,14:00,1370,61.71,,,underwater ~20cm
6/26/23,14:00,1370,61.71,,,underwater ~20cm
6/26/23,14:00,1080,48.65,,,underwater ~20cm
6/26/23,14:00,1100,49.55,,,underwater ~20cm
6/26/23,16:00,860,38.74,,,next to HOBO n°31
6/26/23,16:05,860,38.74,,,next to HOBO n°31
6/26/23,16:08,660-700,,,,next to HOBO n°07
6/26/23,16:12,780,,,,next to HOBO n°07
6/27/23,16:30,,,2160,100,"outside, bright sun"
6/27/23,16:30,,,1340,62.04,on top of the water in tanks under roof
6/27/23,16:30,,,1300,60.19,on top of the water in tanks under roof
6/27/23,16:30,,,1200,55.56,on top of the water in tanks under roof
6/27/23,16:30,,,1180,54.63,on top of the water in tanks under roof
6/27/23,17:30,,,2050,100.00,"outside, bright sun"
6/27/23,17:30,,,840,40.98,on top of the water in tanks under roof
6/27/23,17:30,,,760,37.07,on top of the water in tanks under roof
6/27/23,17:30,,,940,45.85,on top of the water in tanks under roof
6/28/23,13:20,2220,100.00,,,"outside, bright sun"
6/28/23,13:20,1560,70.27,,,on top of the water in tanks under roof
6/28/23,13:20,910,40.99,,,shadow on top of the water in tanks under roof
6/28/23,13:20,1400,63.06,,,on top of the water in tanks under roof
6/28/23,13:20,1420,63.96,,,on top of the water in tanks under roof
6/28/23,13:20,640,28.83,,,shadow on top of the water in tanks under roof
6/28/23,13:20,1200,54.05,,,underwater ~20cm
6/28/23,13:20,720,32.43,,,shadow underwater ~20cm
6/28/23,13:20,1100,49.55,,,underwater ~20cm
6/28/23,13:20,1200,54.05,,,underwater ~20cm
6/28/23,13:20,1120,50.45,,,underwater ~20cm
6/28/23,13:20,1400,63.06,,,underwater ~20cm
6/28/23,13:20,1350,60.81,,,underwater ~20cm