tris.date,mVTris,Ttris
20230710,-65.4,23.2
20230710,-65.5,23.6
20230710,-65.15,24
20230710,-64.2,24.4
20230710,-63.8,24.8
20230710,-64.5,25.2
20230710,-65.2,25.6
20230710,-64.8,26
20230710,-63.2,26.4
20230710,-60.7,26.8
20230710,-55.8,27.2
20230710,-62.5,27.6
20230710,-70.3,28
20230710,-61.2,28.4
20230710,-60.4,28.8
20230710,-59.9,29.2
20230710,-57.3,29.6
20230710,-59.7,30
20230711,-64.8,25.8
20230711,-64.5,26.2
20230711,-63.1,26.6
20230711,-61.9,27
20230711,-62.6,27.4
20230711,-62.2,27.8
20230711,62.7,28.2
20230711,-61.7,28.6
20230711,-60.3,29
20230711,-59.9,29.4
20230711,-59.9,29.8
20230711,-59.3,30.2