Date,Run,Plate,Temperature,Light_Level,Light_Value,TimeStart,TimeStop,TimeInterval,IntervalStart,IntervalStop,Notes
20230718,11,11,28,1,415,11:29,12:06,0:37,0,37,
20230718,12,12,30,1,415,15:00,15:32,0:32,0,32,
20230719,13,13,28,1,415,11:59,12:34,0:35,0,35,
20230719,14,14,30,1,415,15:18,15:57,0:39,0,39,
20230719,15,15,28,1,415,17:39,18:16,0:37,0,37,
20230720,16,16,28,1,415,11:04,11:35,0:31,0,31,
20230720,17,17,28,1,415,14:14,14:45,0:31,0,31,
20230720,18,18,30,1,415,16:19,16:50,0:31,0,31,
20230720,19,19,30,1,415,18:02,18:34,0:32,0,32,
20230721,20,20,28,1,415,15:39,16:11,0:32,0,32,
20230721,21,21,30,1,415,17:26,18:02,0:36,0,36,